iteration;stat;count
42;conflicting_sharp_triangles;0
42;conflicting_spur_triangles;38
42;conflicting_gully_triangles;64
43;conflicting_iso_vertices;80
43;conflicting_triangles;95
43;extended_conflicting_triangles;95
43;vertices_to_smooth;130
43;updated_vertices;4
43;conflicting_sharp_vertices;0
43;conflicting_spur_vertices;30
43;conflicting_gully_vertices;50
43;conflicting_sharp_triangles;0
43;conflicting_spur_triangles;38
43;conflicting_gully_triangles;64
44;conflicting_iso_vertices;80
44;conflicting_triangles;95
44;extended_conflicting_triangles;95
44;vertices_to_smooth;130
44;updated_vertices;2
44;conflicting_sharp_vertices;0
44;conflicting_spur_vertices;30
44;conflicting_gully_vertices;50
44;conflicting_sharp_triangles;0
44;conflicting_spur_triangles;38
44;conflicting_gully_triangles;64
45;conflicting_iso_vertices;80
45;conflicting_triangles;95
45;extended_conflicting_triangles;95
45;vertices_to_smooth;130
45;updated_vertices;1
45;conflicting_sharp_vertices;0
45;conflicting_spur_vertices;30
45;conflicting_gully_vertices;50
45;conflicting_sharp_triangles;0
45;conflicting_spur_triangles;38
45;conflicting_gully_triangles;64
46;conflicting_iso_vertices;80
46;conflicting_triangles;95
46;extended_conflicting_triangles;95
46;vertices_to_smooth;130
46;updated_vertices;0
46;conflicting_sharp_vertices;0
46;conflicting_spur_vertices;30
46;conflicting_gully_vertices;50
46;conflicting_sharp_triangles;0
46;conflicting_spur_triangles;38
46;conflicting_gully_triangles;64
47;conflicting_iso_vertices;80
47;conflicting_triangles;95
47;extended_conflicting_triangles;500
47;vertices_to_smooth;403
47;updated_vertices;94
47;conflicting_sharp_vertices;0
47;conflicting_spur_vertices;30
47;conflicting_gully_vertices;50
47;conflicting_sharp_triangles;0
47;conflicting_spur_triangles;38
47;conflicting_gully_triangles;64
48;conflicting_iso_vertices;80
48;conflicting_triangles;95
48;extended_conflicting_triangles;95
48;vertices_to_smooth;130
48;updated_vertices;26
48;conflicting_sharp_vertices;0
48;conflicting_spur_vertices;30
48;conflicting_gully_vertices;50
48;conflicting_sharp_triangles;0
48;conflicting_spur_triangles;38
48;conflicting_gully_triangles;64
49;conflicting_iso_vertices;76
49;conflicting_triangles;90
49;extended_conflicting_triangles;90
49;vertices_to_smooth;126
49;updated_vertices;15
49;conflicting_sharp_vertices;0
49;conflicting_spur_vertices;26
49;conflicting_gully_vertices;50
49;conflicting_sharp_triangles;0
49;conflicting_spur_triangles;33
49;conflicting_gully_triangles;64
50;conflicting_iso_vertices;76
50;conflicting_triangles;90
50;extended_conflicting_triangles;90
50;vertices_to_smooth;126
50;updated_vertices;9
50;conflicting_sharp_vertices;0
50;conflicting_spur_vertices;26
50;conflicting_gully_vertices;50
50;conflicting_sharp_triangles;0
50;conflicting_spur_triangles;33
50;conflicting_gully_triangles;64
